simplified,pinyin,traditional,pos,classifier,definition,source
爱心,ài xīn,愛心,n,片,compassion,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,kindness,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,care for others,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,love,"old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,"charity (bazaar, golf day etc)","old-HSK5, new-HSK3"
爱心,ài xīn,愛心,n,片,heart (the symbol ♥),"old-HSK5, new-HSK3"
安排,ān pái,安排,"v, vn",,to arrange,new-HSK3
安排,ān pái,安排,"v, vn",,to plan,new-HSK3
安排,ān pái,安排,"v, vn",,to set up,new-HSK3
安排,ān pái,安排,"v, vn",,arrangements,new-HSK3
安排,ān pái,安排,"v, vn",,plans,new-HSK3
安装,ān zhuāng,安裝,"v, vn",,to install,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,to erect,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,to fix,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,to mount,"old-HSK5, new-HSK3"
安装,ān zhuāng,安裝,"v, vn",,installation,"old-HSK5, new-HSK3"
按,àn,按,"p, v",,to press,new-HSK3
按,àn,按,"p, v",,to push,new-HSK3
按,àn,按,"p, v",,to leave aside or shelve,new-HSK3
按,àn,按,"p, v",,to control,new-HSK3
按,àn,按,"p, v",,to restrain,new-HSK3
按,àn,按,"p, v",,to keep one's hand on,new-HSK3
按,àn,按,"p, v",,to check or refer to,new-HSK3
按,àn,按,"p, v",,according to,new-HSK3
按,àn,按,"p, v",,in the light of,new-HSK3
按,àn,按,"p, v",,(of an editor or author) to make a comment,new-HSK3
按照,àn zhào,按照,"p, v",,according to,new-HSK3
按照,àn zhào,按照,"p, v",,in accordance with,new-HSK3
按照,àn zhào,按照,"p, v",,in the light of,new-HSK3
按照,àn zhào,按照,"p, v",,on the basis of,new-HSK3
把,bǎ,把,"p, qv, v, m",,to hold; to grasp,new-HSK3
把,bǎ,把,"p, qv, v, m",,to hold a baby in position to help it urinate or defecate,new-HSK3
把,bǎ,把,"p, qv, v, m",,handlebar,new-HSK3
把,bǎ,把,"p, qv, v, m",,"classifier: handful, bundle, bunch",new-HSK3
把,bǎ,把,"p, qv, v, m",,classifier for things with handles,new-HSK3
把,bǎ,把,"p, qv, v, m",,(used to put the object before the verb: 把 + {noun} + {verb}),new-HSK3
把,bà,把,"p, qv, v, m",,handle,new-HSK3
